Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,TimeDim,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
25263077,RS_198,COUNTRY,ATG,YEAR,2019,SEX,BTSX,,,,,,,0.0 [0.0-0.0],0.0,0.0,0.0,,2021-02-09T16:22:34.78+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
25263981,RS_198,COUNTRY,AUS,YEAR,2019,SEX,BTSX,,,,,,,4.9 [3.9-6.1],4.93914,3.9044,6.09235,,2021-02-09T16:22:59.753+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
25264908,RS_198,COUNTRY,AUT,YEAR,2019,SEX,BTSX,,,,,,,4.9 [3.8-6.1],4.86592,3.83464,6.06026,,2021-02-09T16:23:23.37+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
25283809,RS_198,COUNTRY,CHE,YEAR,2019,SEX,BTSX,,,,,,,2.2 [1.7-2.9],2.24644,1.68936,2.89022,,2021-02-09T16:31:08.547+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
25296399,RS_198,COUNTRY,DEU,YEAR,2019,SEX,BTSX,,,,,,,3.8 [3.0-4.7],3.78353,3.02129,4.65401,,2021-02-09T16:36:15.503+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
25298206,RS_198,COUNTRY,DNK,YEAR,2019,SEX,BTSX,,,,,,,3.7 [2.9-4.7],3.69833,2.86239,4.67602,,2021-02-09T16:36:56.963+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
25303612,RS_198,COUNTRY,ESP,YEAR,2019,SEX,BTSX,,,,,,,3.9 [3.1-4.8],3.91405,3.09493,4.81146,,2021-02-09T16:39:04.927+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
25304500,RS_198,COUNTRY,EST,YEAR,2019,SEX,BTSX,,,,,,,4.5 [3.1-6.3],4.46408,3.05623,6.32485,,2021-02-09T16:39:26.17+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
25306262,RS_198,COUNTRY,FIN,YEAR,2019,SEX,BTSX,,,,,,,3.9 [3.0-5.0],3.88637,2.95779,4.99306,,2021-02-09T16:40:10.367+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
25308972,RS_198,COUNTRY,FSM,YEAR,2019,SEX,BTSX,,,,,,,0.2 [0.1-0.3],0.15972,0.07172,0.25878,,2021-02-09T16:41:16.14+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
